Episode 1 Score: 273, Clipped_Total: 13, Mean_Q: 1
Episode 2 Score: 147, Clipped_Total: 7, Mean_Q: 0
Episode 3 Score: 336, Clipped_Total: 16, Mean_Q: 1
Episode 4 Score: 189, Clipped_Total: 9, Mean_Q: 1
Episode 5 Score: 210, Clipped_Total: 10, Mean_Q: 1
Episode 6 Score: 210, Clipped_Total: 10, Mean_Q: 1
Episode 7 Score: 252, Clipped_Total: 12, Mean_Q: 2
Episode 8 Score: 315, Clipped_Total: 15, Mean_Q: 1
Episode 9 Score: 189, Clipped_Total: 9, Mean_Q: 1
Episode 10 Score: 336, Clipped_Total: 16, Mean_Q: 1
Episode 11 Score: 273, Clipped_Total: 13, Mean_Q: 1
Episode 12 Score: 399, Clipped_Total: 19, Mean_Q: 0
Episode 13 Score: 231, Clipped_Total: 11, Mean_Q: 1
Episode 14 Score: 315, Clipped_Total: 15, Mean_Q: 2
Episode 15 Score: 210, Clipped_Total: 10, Mean_Q: 0
Episode 16 Score: 189, Clipped_Total: 9, Mean_Q: 1
Episode 17 Score: 357, Clipped_Total: 17, Mean_Q: 1
Episode 18 Score: 252, Clipped_Total: 12, Mean_Q: 1
Episode 19 Score: 189, Clipped_Total: 9, Mean_Q: 1
Episode 20 Score: 294, Clipped_Total: 14, Mean_Q: 1
Episode 21 Score: 105, Clipped_Total: 5, Mean_Q: 1
Episode 22 Score: 336, Clipped_Total: 16, Mean_Q: 1
Episode 23 Score: 336, Clipped_Total: 16, Mean_Q: 2
Episode 24 Score: 252, Clipped_Total: 12, Mean_Q: 0
Episode 25 Score: 231, Clipped_Total: 11, Mean_Q: 0
Episode 26 Score: 336, Clipped_Total: 16, Mean_Q: 1
Episode 27 Score: 336, Clipped_Total: 16, Mean_Q: 0
Episode 28 Score: 357, Clipped_Total: 17, Mean_Q: 1
Episode 29 Score: 315, Clipped_Total: 15, Mean_Q: 1
Episode 30 Score: 189, Clipped_Total: 9, Mean_Q: 0
Episode 31 Score: 294, Clipped_Total: 14, Mean_Q: 1
Episode 32 Score: 147, Clipped_Total: 7, Mean_Q: 1
Episode 33 Score: 315, Clipped_Total: 15, Mean_Q: 1
Episode 34 Score: 336, Clipped_Total: 16, Mean_Q: 1
Episode 35 Score: 273, Clipped_Total: 13, Mean_Q: 1
Episode 36 Score: 273, Clipped_Total: 13, Mean_Q: 1
Episode 37 Score: 273, Clipped_Total: 13, Mean_Q: 1
Episode 38 Score: 315, Clipped_Total: 15, Mean_Q: 1
Episode 39 Score: 231, Clipped_Total: 11, Mean_Q: 0
Episode 40 Score: 420, Clipped_Total: 20, Mean_Q: 1
Episode 41 Score: 315, Clipped_Total: 15, Mean_Q: 1
