Episode 1 Length: 931, Score: 252, Clipped_Total: 16, Mean_Q: 2
Episode 2 Length: 931, Score: 168, Clipped_Total: 16, Mean_Q: 1
Episode 3 Length: 931, Score: 189, Clipped_Total: 16, Mean_Q: 1
Episode 4 Length: 931, Score: 189, Clipped_Total: 16, Mean_Q: 0
Episode 5 Length: 931, Score: 189, Clipped_Total: 16, Mean_Q: 0
Episode 6 Length: 931, Score: 189, Clipped_Total: 16, Mean_Q: 1
Episode 7 Length: 931, Score: 210, Clipped_Total: 16, Mean_Q: 0
Episode 8 Length: 931, Score: 126, Clipped_Total: 16, Mean_Q: 0
Episode 9 Length: 931, Score: 168, Clipped_Total: 16, Mean_Q: 0
Episode 10 Length: 931, Score: 231, Clipped_Total: 16, Mean_Q: 0
Episode 11 Length: 931, Score: 168, Clipped_Total: 16, Mean_Q: 0
Episode 12 Length: 931, Score: 231, Clipped_Total: 16, Mean_Q: 0
Episode 13 Length: 931, Score: 252, Clipped_Total: 16, Mean_Q: 0
Episode 14 Length: 931, Score: 189, Clipped_Total: 16, Mean_Q: 0
Episode 15 Length: 931, Score: 231, Clipped_Total: 16, Mean_Q: 0
Episode 16 Length: 931, Score: 420, Clipped_Total: 16, Mean_Q: 0
Episode 17 Length: 931, Score: 504, Clipped_Total: 16, Mean_Q: 1
Episode 18 Length: 931, Score: 420, Clipped_Total: 16, Mean_Q: 0
Episode 19 Length: 931, Score: 336, Clipped_Total: 16, Mean_Q: 1
Episode 20 Length: 931, Score: 252, Clipped_Total: 16, Mean_Q: 0
Episode 21 Length: 931, Score: 189, Clipped_Total: 16, Mean_Q: 0
Episode 22 Length: 931, Score: 252, Clipped_Total: 16, Mean_Q: 0
Episode 23 Length: 931, Score: 441, Clipped_Total: 16, Mean_Q: 0
Episode 24 Length: 931, Score: 294, Clipped_Total: 16, Mean_Q: 0
Episode 25 Length: 931, Score: 357, Clipped_Total: 16, Mean_Q: 0
Episode 26 Length: 931, Score: 357, Clipped_Total: 16, Mean_Q: 0
Episode 27 Length: 931, Score: 189, Clipped_Total: 16, Mean_Q: 0
Episode 28 Length: 931, Score: 315, Clipped_Total: 16, Mean_Q: 0
Episode 29 Length: 931, Score: 378, Clipped_Total: 16, Mean_Q: 1
Episode 30 Length: 931, Score: 336, Clipped_Total: 16, Mean_Q: 1
