0: Score: 189, Mean Q: 0
1: Score: 357, Mean Q: 2
2: Score: 168, Mean Q: 1
3: Score: 294, Mean Q: 0
4: Score: 420, Mean Q: 0
5: Score: 189, Mean Q: 1
6: Score: 84, Mean Q: 0
7: Score: 189, Mean Q: 2
8: Score: 189, Mean Q: 0
9: Score: 189, Mean Q: 0
10: Score: 189, Mean Q: 2
11: Score: 84, Mean Q: 2
12: Score: 231, Mean Q: 1
13: Score: 189, Mean Q: 1
14: Score: 168, Mean Q: 1
15: Score: 273, Mean Q: 0
16: Score: 420, Mean Q: 0
17: Score: 378, Mean Q: 0
18: Score: 210, Mean Q: 0
19: Score: 189, Mean Q: 0
20: Score: 273, Mean Q: 2
21: Score: 231, Mean Q: 1
22: Score: 399, Mean Q: 0
23: Score: 504, Mean Q: 0
24: Score: 399, Mean Q: 0
25: Score: 252, Mean Q: 0
26: Score: 210, Mean Q: 0
27: Score: 294, Mean Q: 1
28: Score: 189, Mean Q: 0
29: Score: 210, Mean Q: 1
30: Score: 273, Mean Q: 0
31: Score: 336, Mean Q: 1
32: Score: 210, Mean Q: 1
33: Score: 189, Mean Q: 1
34: Score: 210, Mean Q: 2
35: Score: 252, Mean Q: 1
36: Score: 189, Mean Q: 0
37: Score: 399, Mean Q: 1
38: Score: 378, Mean Q: 0
39: Score: 210, Mean Q: 1
40: Score: 252, Mean Q: 1
41: Score: 210, Mean Q: 0
42: Score: 315, Mean Q: 1
43: Score: 357, Mean Q: 0
44: Score: 189, Mean Q: 2
45: Score: 273, Mean Q: 3
46: Score: 252, Mean Q: 2
47: Score: 210, Mean Q: 1
48: Score: 273, Mean Q: 0
49: Score: 420, Mean Q: 2
