0: Score: 0, Mean Q: 0
1: Score: 1, Mean Q: 0
2: Score: 4, Mean Q: 1
3: Score: 0, Mean Q: 0
4: Score: 2, Mean Q: 0
5: Score: 0, Mean Q: 0
6: Score: 2, Mean Q: 0
7: Score: 2, Mean Q: 0
8: Score: 0, Mean Q: 0
9: Score: 0, Mean Q: 0
10: Score: 0, Mean Q: 0
11: Score: 1, Mean Q: 1
12: Score: 0, Mean Q: 0
13: Score: 0, Mean Q: 0
14: Score: 0, Mean Q: 0
15: Score: 4, Mean Q: 0
16: Score: 0, Mean Q: 0
17: Score: 0, Mean Q: 0
18: Score: 2, Mean Q: 0
19: Score: 3, Mean Q: 1
20: Score: 1, Mean Q: 0
21: Score: 2, Mean Q: 0
22: Score: 0, Mean Q: 0
23: Score: 1, Mean Q: 0
24: Score: 0, Mean Q: 0
25: Score: 1, Mean Q: 0
26: Score: 2, Mean Q: 0
27: Score: 0, Mean Q: 1
28: Score: 2, Mean Q: 1
29: Score: 0, Mean Q: 1
30: Score: 0, Mean Q: 0
31: Score: 0, Mean Q: 0
32: Score: 2, Mean Q: 0
33: Score: 1, Mean Q: 1
34: Score: 0, Mean Q: 0
35: Score: 4, Mean Q: 1
36: Score: 0, Mean Q: 0
37: Score: 4, Mean Q: 0
38: Score: 2, Mean Q: 0
39: Score: 1, Mean Q: 0
40: Score: 1, Mean Q: 1
41: Score: 1, Mean Q: 0
42: Score: 1, Mean Q: 1
43: Score: 2, Mean Q: 0
44: Score: 3, Mean Q: 0
45: Score: 0, Mean Q: 0
46: Score: 2, Mean Q: 0
47: Score: 1, Mean Q: 0
48: Score: 1, Mean Q: 0
49: Score: 1, Mean Q: 0
