Episode 1 Length: 225, Score: 3, Clipped_Total: 1, Mean_Q: 1
Episode 2 Length: 225, Score: 0, Clipped_Total: 1, Mean_Q: 1
Episode 3 Length: 225, Score: 3, Clipped_Total: 1, Mean_Q: 1
Episode 4 Length: 225, Score: 1, Clipped_Total: 1, Mean_Q: 2
Episode 5 Length: 225, Score: 0, Clipped_Total: 1, Mean_Q: 1
Episode 6 Length: 225, Score: 1, Clipped_Total: 1, Mean_Q: 0
Episode 7 Length: 225, Score: 0, Clipped_Total: 1, Mean_Q: 0
Episode 8 Length: 225, Score: 1, Clipped_Total: 1, Mean_Q: 0
Episode 9 Length: 225, Score: 2, Clipped_Total: 1, Mean_Q: 0
Episode 10 Length: 225, Score: 1, Clipped_Total: 1, Mean_Q: 1
Episode 11 Length: 225, Score: 2, Clipped_Total: 1, Mean_Q: 1
Episode 12 Length: 225, Score: 0, Clipped_Total: 1, Mean_Q: 1
Episode 13 Length: 225, Score: 2, Clipped_Total: 1, Mean_Q: 1
Episode 14 Length: 225, Score: 0, Clipped_Total: 1, Mean_Q: 1
Episode 15 Length: 225, Score: 0, Clipped_Total: 1, Mean_Q: 1
Episode 16 Length: 225, Score: 3, Clipped_Total: 1, Mean_Q: 1
Episode 17 Length: 225, Score: 0, Clipped_Total: 1, Mean_Q: 1
Episode 18 Length: 225, Score: 5, Clipped_Total: 1, Mean_Q: 1
Episode 19 Length: 225, Score: 1, Clipped_Total: 1, Mean_Q: 1
Episode 20 Length: 225, Score: 1, Clipped_Total: 1, Mean_Q: 2
Episode 21 Length: 225, Score: 1, Clipped_Total: 1, Mean_Q: 1
Episode 22 Length: 225, Score: 0, Clipped_Total: 1, Mean_Q: 0
Episode 23 Length: 225, Score: 0, Clipped_Total: 1, Mean_Q: 0
Episode 24 Length: 225, Score: 0, Clipped_Total: 1, Mean_Q: 0
Episode 25 Length: 225, Score: 2, Clipped_Total: 1, Mean_Q: 0
Episode 26 Length: 225, Score: 2, Clipped_Total: 1, Mean_Q: 0
Episode 27 Length: 225, Score: 0, Clipped_Total: 1, Mean_Q: 0
Episode 28 Length: 225, Score: 0, Clipped_Total: 1, Mean_Q: 0
Episode 29 Length: 225, Score: 2, Clipped_Total: 1, Mean_Q: 0
Episode 30 Length: 225, Score: 0, Clipped_Total: 1, Mean_Q: 0
Episode 31 Length: 225, Score: 1, Clipped_Total: 1, Mean_Q: 0
Episode 32 Length: 225, Score: 2, Clipped_Total: 1, Mean_Q: 0
Episode 33 Length: 225, Score: 2, Clipped_Total: 1, Mean_Q: 0
Episode 34 Length: 225, Score: 4, Clipped_Total: 1, Mean_Q: 0
Episode 35 Length: 225, Score: 0, Clipped_Total: 1, Mean_Q: 0
Episode 36 Length: 225, Score: 1, Clipped_Total: 1, Mean_Q: 0
Episode 37 Length: 225, Score: 0, Clipped_Total: 1, Mean_Q: 0
Episode 38 Length: 225, Score: 0, Clipped_Total: 1, Mean_Q: 0
Episode 39 Length: 225, Score: 3, Clipped_Total: 1, Mean_Q: 0
Episode 40 Length: 225, Score: 0, Clipped_Total: 1, Mean_Q: 0
Episode 41 Length: 225, Score: 3, Clipped_Total: 1, Mean_Q: 0
Episode 42 Length: 225, Score: 3, Clipped_Total: 1, Mean_Q: 1
Episode 43 Length: 225, Score: 2, Clipped_Total: 1, Mean_Q: 1
Episode 44 Length: 225, Score: 2, Clipped_Total: 1, Mean_Q: 1
Episode 45 Length: 225, Score: 2, Clipped_Total: 1, Mean_Q: 0
Episode 46 Length: 225, Score: 2, Clipped_Total: 1, Mean_Q: 1
Episode 47 Length: 225, Score: 3, Clipped_Total: 1, Mean_Q: 0
Episode 48 Length: 225, Score: 0, Clipped_Total: 1, Mean_Q: 0
Episode 49 Length: 225, Score: 5, Clipped_Total: 1, Mean_Q: 0
Episode 50 Length: 225, Score: 1, Clipped_Total: 1, Mean_Q: 0
